trail_id,trail_name,national_park,state,popularity,length,elevation,difficulty,route_type,rating,num_reviews,trailhead_lat,trailhead_long
10539983,Granite Canyon and Teton Crest Trail Loop,Grand Teton National Park,Wyoming,3.1,56.3,3380.8,7,loop,4.5,8,43.65698,-110.78044
10259158,Divide Mountain Trail,Yellowstone National Park,Wyoming,3.0,3.4,214.0,3,out and back,3.0,6,44.43476,-110.73487
10031076,Antelope Spring Loop Trail,Grand Teton National Park,Wyoming,3.0,6.8,422.8,3,loop,5.0,1,43.69978,-110.61533
10039555,East Entrance to Fishing Bridge Drive,Yellowstone National Park,Wyoming,3.0,25.0,939.7,3,point to point,4.0,5,44.48903,-110.00476
10479176,Death Canyon Trail,Grand Teton National Park,Wyoming,2.9,18.7,1155.8,5,out and back,4.5,6,43.65579,-110.7811
10006439,Summit Lake Trail,Yellowstone National Park,Wyoming,2.8,34.2,768.7,5,out and back,4.0,2,44.4849,-110.85205
10020579,Tower Creek Trail,Yellowstone National Park,Wyoming,2.8,6.9,182.9,3,out and back,3.5,3,44.8896,-110.39146
10235734,Eleanor Lake Trail,Yellowstone National Park,Wyoming,2.8,0.4,2.7,1,loop,5.0,2,44.4704,-110.1427
10405729,Yellowstone Lake to Old Faithful via Southern Boundary,Yellowstone National Park,Wyoming,2.7,145.4,3376.0,5,point to point,3.5,6,44.50569,-110.27556
10265481,Shoshone Lake Via Canoe,Yellowstone National Park,Wyoming,2.7,29.8,84.7,3,out and back,5.0,2,44.28265,-110.6287
10344521,Rendezvous Mountain Trail to String Lake,Grand Teton National Park,Wyoming,2.7,43.3,2160.7,5,point to point,4.5,3,43.59597,-110.87359000000001
10403960,Teton Canyon Road,Grand Teton National Park,Wyoming,2.6,7.9,105.8,3,out and back,4.5,4,43.76045,-110.98733
10010569,Buffalo Plateau Trail,Yellowstone National Park,Wyoming,2.6,18.7,1270.7,3,out and back,5.0,2,44.94902,-110.45044
10259172,Bliss Pass via Slough Creek,Yellowstone National Park,Wyoming,2.5,18.8,1295.7,5,point to point,4.5,3,44.94353,-110.30791
10001894,Open Canyon Trail to Marion Lake,Grand Teton National Park,Wyoming,2.5,25.2,2051.9,5,out and back,4.0,2,43.60738,-110.79301
